"Taxonomy_ID","Organism_Name","Group","SubGroup","Common_Name","GC_content","Size_Mb","Number_Of_Proteins"
7719,"Ciona intestinalis","Animals","Other Animals","sea vase",36.0239,115.227,21099
7740,"Branchiostoma lanceolatum","Animals","Other Animals","common lancelet",41.5294,474.792,39310
7757,"Petromyzon marinus","Animals","Fishes","marine lamprey",48.3309,1089.05,3332
7830,"Scyliorhinus canicula","Animals","Fishes","smaller spotted dogfish",47.6847,4220.41,49345
7868,"Callorhinchus milii","Animals","Fishes","Australian ghost shark",42.7998,991.536,30405
7913,"Polyodon spathula","Animals","Fishes","North American paddlefish",39.0225,1542.08,18048
7936,"Anguilla anguilla","Animals","Fishes","European freshwater eel",43.6575,979.046,58091
7955,"Danio rerio","Animals","Fishes","leopard danio",36.6374,1679.2,57100
7962,"Cyprinus carpio","Animals","Fishes","carp",37.1688,1680.13,76977
7994,"Astyanax mexicanus","Animals","Fishes","blind cave fish",38.2352,1373.17,52494
8005,"Electrophorus electricus","Animals","Fishes","electric knifefish",42.6257,589.359,45294
8017,"Oncorhynchus gorbuscha","Animals","Fishes","humpback salmon",44.2838,2690.28,80331
8078,"Fundulus heteroclitus","Animals","Fishes","Atlantic killifish",40.7761,1203.51,49534
8090,"Oryzias latipes","Animals","Fishes","Japanese rice fish",40.8475,734.057,44766
8103,"Cyclopterus lumpus","Animals","Fishes","lumpsucker",42.9507,572.886,38625
8168,"Perca fluviatilis","Animals","Fishes","perch",40.9071,951.346,49934
8175,"Sparus aurata","Animals","Fishes","gilthead bream",41.9489,833.595,52790
8187,"Lates calcarifer","Animals","Fishes","Asian seabass",40.8663,673.814,45365
8208,"Notothenia coriiceps","Animals","Fishes","yellowbelly rockcod",40.8002,636.614,32182
8255,"Paralichthys olivaceus","Animals","Fishes","bastard halibut",43.2001,643.911,36123
8262,"Pleuronectes platessa","Animals","Fishes","plaice",42.5,583.26,48030
8355,"Xenopus laevis","Animals","Amphibians","clawed frog",39.3485,2742.47,72913
8364,"Xenopus tropicalis","Animals","Amphibians","western clawed frog",40.7533,1451.3,45099
8384,"Bufo bufo","Animals","Amphibians","common European toad",44.5207,5044.74,38109
8400,"Aquarana catesbeiana","Animals","Amphibians","bullfrog",43.6998,6250.35,28771
8407,"Rana temporaria","Animals","Amphibians","European common frog",44.194,4111.42,41969
8439,"Ascaphus truei","Animals","Amphibians","American bell toad",43.4957,3101.75,49470
8467,"Caretta caretta","Animals","Reptiles","loggerhead",44.0325,2134.01,54596
8469,"Chelonia mydas","Animals","Reptiles","green seaturtle",44.0473,2134.38,71110
8502,"Crocodylus porosus","Animals","Reptiles","estuarine crocodile",44.2,2049.54,28676
8663,"Notechis scutatus","Animals","Reptiles","common tiger snake",40.2,1665.53,31232
8673,"Pseudonaja textilis","Animals","Reptiles","eastern brown snake",40.1,1590.04,31677
8787,"Casuarius casuarius","Animals","Birds","Australian cassowary",40.6,1204.59,13737
8795,"Rhea pennata","Animals","Birds","lesser rhea",42.443,1269.02,13
8839,"Anas platyrhynchos","Animals","Birds","duck",42.2855,1188.53,45225
8845,"Anser cygnoides","Animals","Birds","Chinese goose",41.8001,1130.29,47254
8895,"Apus apus","Animals","Birds","Eurasian swift",41.973,1100.38,13
8932,"Columba livia","Animals","Birds","carrier pigeon",41.9,1283.32,18431
8954,"Falco peregrinus","Animals","Birds","peregrine",41.8,1171.97,31127
8957,"Accipiter gentilis","Animals","Birds","Eurasian goshawk",43.7786,1398.01,44815
9002,"Centrocercus urophasianus","Animals","Birds","greater sage grouse",41.5,1010.66,31539
9014,"Colinus virginianus","Animals","Birds","bobwhite quail",38.6,1254.15,17165
9031,"Gallus gallus","Animals","Birds","bantam",42.2233,1053.33,68684
9054,"Phasianus colchicus","Animals","Birds","common pheasant",41.3,1017.52,29007
9103,"Meleagris gallopavo","Animals","Birds","common turkey",41.6144,1115.47,29667
9135,"Serinus canaria","Animals","Birds","Atlantic canary",42.3624,1050.35,36079
9157,"Parus major","Animals","Birds","Kohlmeise",41.5208,1020.31,38619
9160,"Passer montanus","Animals","Birds","tree sparrow",42.0001,1039.97,39149
9172,"Sturnus vulgaris","Animals","Birds","European starling",41.7,1036.76,26611
9209,"Phalacrocorax carbo","Animals","Birds","common cormorant",41.3,1138.97,15339
9258,"Ornithorhynchus anatinus","Animals","Mammals","duck-billed platypus",46.1721,1859.28,38747
9261,"Tachyglossus aculeatus","Animals","Mammals","short-beaked echidna",45.3597,2213,33269
9337,"Trichosurus vulpecula","Animals","Mammals","common brush-tailed possum",39.53,3359.35,35542
9365,"Erinaceus europaeus","Animals","Mammals","common hedgehog",42.5,2715.72,29369
9371,"Echinops telfairi","Animals","Mammals","lesser hedgehog tenrec",43.8,2947.12,32083
9430,"Desmodus rotundus","Animals","Mammals","vampire bat",42.3,2063.54,44433
9483,"Callithrix jacchus","Animals","Mammals","common marmoset",40.9673,2897.82,85120
9515,"Sapajus apella","Animals","Mammals","black-capped capuchin",40.9,2729.2,62192
9541,"Macaca fascicularis","Animals","Mammals","crab eating macaque",40.9832,2800.9,73358
9544,"Macaca mulatta","Animals","Mammals","rhesus macaque",41.1015,2971.33,67977
9545,"Macaca nemestrina","Animals","Mammals","pigtail macaque",41.3,2948.7,66484
9555,"Papio anubis","Animals","Mammals","baboon",40.9162,2869.82,71987
9565,"Theropithecus gelada","Animals","Mammals","bleeding heart baboon",41.1126,2889.63,52434
9595,"Gorilla gorilla gorilla","Animals","Mammals","lowland gorilla",40.4922,3545.85,80997
9597,"Pan paniscus","Animals","Mammals","bonobo",40.4511,3244.91,81362
9600,"Pongo pygmaeus","Animals","Mammals","orang utan",40.8945,3220.95,80010
9601,"Pongo abelii","Animals","Mammals","orang utan",40.906,3259.87,81517
9615,"Canis lupus familiaris","Animals","Mammals","dogs",41.2374,2396.86,66768
9627,"Vulpes vulpes","Animals","Mammals","silver fox",41.3,2421.57,37915
9644,"Ursus arctos","Animals","Mammals","grizzly bear",42.3,2423.42,56235
9657,"Lutra lutra","Animals","Mammals","European otter",41.5905,2438.46,57376
9669,"Mustela putorius furo","Animals","Mammals","black ferret",41.9,2577.11,57554
9685,"Felis catus","Animals","Mammals","cat",41.8091,2425.75,71463
9704,"Zalophus californianus","Animals","Mammals","California sealion",41.4631,2409.69,61024
9711,"Halichoerus grypus","Animals","Mammals","grey seal",41.4,2338.24,60137
9733,"Orcinus orca","Animals","Mammals","Orca",41.9011,2647.35,63212
9739,"Tursiops truncatus","Animals","Mammals","Atlantic bottlenose dolphin",41.4544,2378.52,55739
9749,"Delphinapterus leucas","Animals","Mammals","beluga",41.4,2362.78,50490
9764,"Eschrichtius robustus","Animals","Mammals","California gray whale",40.9,2431.71,23457
9770,"Balaenoptera physalus","Animals","Mammals","common rorqual",33.2,2462.77,19655
9785,"Loxodonta africana","Animals","Mammals","African bush elephant",40.9,3196.74,41254
9793,"Equus asinus","Animals","Mammals","African ass",41.4316,2431.91,59754
9796,"Equus caballus","Animals","Mammals","domestic horse",41.0254,2474.91,775
9798,"Equus przewalskii","Animals","Mammals","Przewalski horse",41.3,2395.95,38416
9823,"Sus scrofa","Animals","Mammals","pigs",41.971,2501.91,63577
9837,"Camelus bactrianus","Animals","Mammals","camel",41.4,1992.66,41434
9838,"Camelus dromedarius","Animals","Mammals","camel",41.5758,2169.36,51736
9886,"Muntiacus reevesi","Animals","Mammals","Chinese muntjac",41.74,2579.58,26044
9888,"Muntiacus muntjak","Animals","Mammals","Indian muntjac",41.7512,2573.53,25737
9906,"Bos javanicus","Animals","Mammals","wild banteng",41.8334,2972.81,13
9913,"Bos taurus","Animals","Mammals","bovine",42.0155,2770.69,64077
9915,"Bos indicus","Animals","Mammals","Indicine cattle",42.3689,2673.97,35992
9925,"Capra hircus","Animals","Mammals","domestic goat",41.9935,2922.62,40275
9940,"Ovis aries","Animals","Mammals","domestic sheep",42.0046,2654.06,76699
9974,"Manis javanica","Animals","Mammals","Javan pangolin",41.6,2438.98,55869
9978,"Ochotona princeps","Animals","Mammals","southern American pika",44.2104,2231.49,29688
9986,"Oryctolagus cuniculus","Animals","Mammals","domestic rabbit",48.6,2737.46,9621
9995,"Marmota monax","Animals","Mammals","groundhog",39.9,2638.86,9389
10029,"Cricetulus griseus","Animals","Mammals","Chinese hamsters",41.5142,2366.63,46638
10036,"Mesocricetus auratus","Animals","Mammals","Syrian golden hamster",42.3,2457.08,53064
10047,"Meriones unguiculatus","Animals","Mammals","Mongolian jird",42.5,2523.12,38750
10089,"Mus caroli","Animals","Mammals","ricefield mouse",42.6196,2552.83,47348
10090,"Mus musculus","Animals","Mammals","mouse",41.8825,2728.22,92499
10093,"Mus pahari","Animals","Mammals","Gairdner's shrew-mouse",42.6694,2475.01,42226
10116,"Rattus norvegicus","Animals","Mammals","brown rat",42.0588,2647.92,74754
10117,"Rattus rattus","Animals","Mammals","house rat",42.1324,2382.79,35475
10141,"Cavia porcellus","Animals","Mammals","guinea pig",40.1,2723.22,37349
10181,"Heterocephalus glaber","Animals","Mammals","naked mole rat",41.2,2618.2,60814
13013,"Clarias gariepinus","Animals","Fishes","sharptooth catfish",38.9679,969.621,13
13164,"Myzus persicae","Animals","Insects","peach-potato aphid",30.0993,347.313,23910
13290,"Tilletia caries","Fungi","Basidiomycetes","stinking smut of wheat",56.7,28.1422,9952
13397,"Carcharodon carcharias","Animals","Fishes","white shark",45.2278,4286.31,44456
13427,"Cichorium intybus","Plants","Land Plants","radicchio",35.5082,1278.75,43721
13443,"Coffea arabica","Plants","Land Plants","arabica coffee",36.9585,1094.45,67222
13451,"Corylus avellana","Plants","Land Plants","European hazelnut",35.9243,369.939,77
13489,"Dicentrarchus labrax","Animals","Fishes","European sea bass",40.3001,695.91,13
13579,"Juncus effusus","Plants","Land Plants","common rush",33.4303,258.277,18942
13632,"Lucilia sericata","Animals","Insects","sheep blowfly",30.7998,565.305,23700
13686,"Solenopsis invicta","Animals","Insects","imported red fire ant",36.391,378.102,30910
13708,"Tagetes erecta","Plants","Land Plants","big marigold",35.2712,778.926,71461
13735,"Pelodiscus sinensis","Animals","Reptiles","Chinese softshell turtle",44.5,2202.48,38574
13746,"Uria aalge","Animals","Birds","Atlantic murre",40.5,1181.53,14166
15368,"Brachypodium distachyon","Plants","Land Plants","annual false brome",46.4183,271.299,37892
22663,"Punica granatum","Plants","Land Plants","granado",29.2,380.178,50476
22666,"Trapa natans","Plants","Land Plants","water chestnut",38.0922,477.423,64503
27292,"Saccharomyces pastorianus","Fungi","Ascomycetes","lager yeast",39.0694,23.0346,10760
27406,"Cherax quadricarinatus","Animals","Other Animals","Australian red claw crayfish",42.226,5247.62,13
27457,"Bactrocera dorsalis","Animals","Insects","papaya fruit fly",36.624,530.327,30102
27606,"Eubalaena glacialis","Animals","Mammals","northern right whale",41.6452,2843.69,13
27706,"Micropterus salmoides","Animals","Fishes","largemouth blackbass",40.9001,963.614,47899
28377,"Anolis carolinensis","Animals","Reptiles","Carolina anole",40.1459,1799.14,13
28532,"Tarenaya hassleriana","Plants","Land Plants","spider flower",40.5,249.93,41094
28588,"Zeugodacus cucurbitae","Animals","Insects","melon fruit fly",27.1,439.26,13
28612,"Rhagoletis zephyria","Animals","Insects","snowberry maggot",37.2,1109.8,33731
28689,"Alca torda","Animals","Birds","Tordalk",42,1162.05,13980
28737,"Elephantulus edwardii","Animals","Mammals","Cape long-eared elephant shrew",41.5,3843.98,25209
29058,"Helicoverpa armigera","Animals","Insects","American bollworm",36.5346,356.686,27997
29073,"Ursus maritimus","Animals","Mammals","white bear",41.9,2330.49,41487
29139,"Vombatus ursinus","Animals","Mammals","coarse-haired wombat",38.9,3486.6,42624
29722,"Amaranthus tricolor","Plants","Land Plants","Chinese spinach",36.6,520.235,88
29729,"Gossypium arboreum","Plants","Land Plants","tree cotton",35.334,1667.43,48236
29808,"Taxus chinensis","Plants","Land Plants","Chinese yew",36.7772,10238,44770
30195,"Bombus terrestris","Animals","Insects","large earth bumblebee",38.6904,392.962,25755
30331,"Bufo gargarizans","Animals","Amphibians","Chusan Island toad",44.4777,4545.48,38512
30419,"Opisthocomus hoazin","Animals","Birds","hoatzin",42.7,1203.71,14878
30427,"Haemorhous mexicanus","Animals","Birds","California linnet",42.9662,1148.23,13
30522,"Bos indicus x Bos taurus","Animals","Mammals","hybrid cow",41.8269,2680.95,54075
30608,"Microcebus murinus","Animals","Mammals","grey mouse lemur",41.3423,2487.41,59023
30640,"Sciurus carolinensis","Animals","Mammals","eastern gray squirrel",40.071,2815.4,52005
30732,"Oryzias melastigma","Animals","Fishes","Java medaka",39.5979,778.704,43112
30991,"Silurus asotus","Animals","Fishes","Japanese common catfish",38.9,752.54,24309
30993,"Pangasianodon gigas","Animals","Fishes","giant catfish",38.7941,827.231,21988
31033,"Takifugu rubripes","Animals","Fishes","tiger puffer",45.6992,384.127,46760
32201,"Carya illinoinensis","Plants","Land Plants","pecan",36.1665,649.961,68161
32264,"Tetranychus urticae","Animals","Other Animals","red spider mite",32.4976,90.8286,15684
32507,"Neolamprologus brichardi","Animals","Fishes","lyretail cichlid",42.0001,847.91,36390
34816,"Morone saxatilis","Animals","Fishes","striped bass",40.3001,598.127,30912
34886,"Eumetopias jubatus","Animals","Mammals","northern sea lion",41.4,2418.26,39926
35570,"Stomoxys calcitrans","Animals","Insects","biting house fly",40.3,971.189,22450
35608,"Artemisia annua","Plants","Land Plants","sweet Annie",34.1,1792.86,213
35725,"Macrophomina phaseolina","Fungi","Ascomycetes","charcoal rot",52.3,53.6412,14844
35883,"Ipomoea nil","Plants","Land Plants","qian niu",37.6024,735.231,51054
35885,"Ipomoea triloba","Plants","Land Plants","little bell",36.4362,461.989,42046
36100,"Haliotis rubra","Animals","Other Animals","black lip abalone",40.5,1378.28,43422
36275,"Leiothrix lutea","Animals","Birds","Pekin robin",39.8,1058.76,13282
36723,"Mustela erminea","Animals","Mammals","short-tailed weasel",41.6458,2445.22,60443
37003,"Kryptolebias marmoratus","Animals","Fishes","matanzas rivulus",40.5919,680.656,42533
37032,"Suricata suricatta","Animals","Mammals","slender-tailed meerkat",41.7112,2353.58,43269
37610,"Erithacus rubecula","Animals","Birds","robin",40.5,979.844,13675
37623,"Ostrea edulis","Animals","Other Animals","Colchester native oyster",35.4,935.154,54595
38397,"Orthonyx spaldingii","Animals","Birds","Spalding's logrunner",41.7,1034.66,14292
38414,"Eragrostis curvula","Plants","Land Plants","Boer love grass",45.6393,603.072,55182
38942,"Quercus robur","Plants","Land Plants","pedunculate oak",35.6822,789.349,53760
39946,"Oryza sativa Indica Group","Plants","Land Plants","Indian rice",43.7299,426.337,37358
39947,"Oryza sativa Japonica Group","Plants","Land Plants","Japonica rice",43.8,43.3424,7192
40450,"Fomitopsis betulina","Fungi","Basidiomycetes","birch polypore",53.7,42.8638,12070
40686,"Salix viminalis","Plants","Land Plants","basket willow",33.9374,282.582,67786
40690,"Trematomus bernacchii","Animals","Fishes","rockcod",40.9,867.125,40874
41139,"Coccinella septempunctata","Animals","Insects","seven-spotted lady beetle",36.4187,398.849,23111
41426,"Phacochoerus africanus","Animals","Mammals","warthog",41.9797,2435.08,48052
42229,"Prunus avium","Plants","Land Plants","gean",38.8,272.362,35009
42249,"Tuber magnatum","Fungi","Ascomycetes","gray truffle",40,192.781,9431
42254,"Sorex araneus","Animals","Mammals","Eurasian shrew",43.4,2423.16,23427
42514,"Pygocentrus nattereri","Animals","Fishes","red piranha",40.656,1222.05,50672
42526,"Colossoma macropomum","Animals","Fishes","black pacu",39.3,1221.85,43618
43049,"Tilletia indica","Fungi","Basidiomycetes","Karnal bunt",55,28.9675,9677
43150,"Hirundo rustica","Animals","Birds","Rauchschwalbe",42.7169,1105.96,36955
43151,"Anopheles darlingi","Animals","Insects","American malaria mosquito",48.0771,181.653,20247
43335,"Populus alba","Plants","Land Plants","abele",33.7234,416.986,46966
43700,"Monopterus albus","Animals","Fishes","rice-field eel",41.5001,684.144,40334
45807,"Motacilla alba","Animals","Birds","Bachstelze",41.5,1043.12,13539
45954,"Dreissena polymorpha","Animals","Other Animals","zebra mussel",35.1299,1797.94,189750
46514,"Patiria miniata","Animals","Other Animals","broad-disk star",40.6,608.344,35403
46731,"Pocillopora damicornis","Animals","Other Animals","cauliflower coral",38.2994,234.351,25183
46732,"Pocillopora meandrina","Animals","Other Animals","cauliflower coral",38,347.233,32095
46969,"Thalictrum thalictroides","Plants","Land Plants","rue-anemone",35.6,243.091,33624
47969,"Oreochromis aureus","Animals","Fishes","blue tilapia",40.6561,1005.58,49669
48193,"Mugil cephalus","Animals","Fishes","Formosan gray mullet",41.8893,634.85,44626
48701,"Poecilia mexicana","Animals","Fishes","shortfin molly",40.7,801.711,47406
49390,"Coffea canephora","Plants","Land Plants","robusta coffee",38.8916,568.612,25574
50023,"Panonychus citri","Animals","Other Animals","citrus fruit mite",31.2974,83.9805,13
50251,"Sitta europaea","Animals","Birds","Kleiber",41.2,1020.78,13557
50452,"Arabis alpina","Plants","Land Plants","alpine rockcress",37.9325,308.033,23286
51239,"Vanilla planifolia","Plants","Land Plants","cultivated vanilla",30.7896,744.192,29180
51655,"Plutella xylostella","Animals","Insects","cabbage moth",38.3224,323.303,22256
52824,"Brassica carinata","Plants","Land Plants","Abyssinian mustard",37.2301,1086.99,97148
52838,"Musa balbisiana","Plants","Land Plants","starchy banana",37.9868,492.775,33021
54180,"Trachypithecus francoisi","Animals","Mammals","Francois's leaf monkey",41.1,2875.57,64364
54971,"Arenaria interpres","Animals","Birds","turnstone",41.8,1124.62,13872
55184,"Acorus gramineus","Plants","Land Plants","shi chang pu",38.8048,398.582,24974
55188,"Citrus unshiu","Plants","Land Plants","satsuma mandarin",31.3,359.652,37970
55194,"Malassezia furfur","Fungi","Basidiomycetes","Pityriasis (Tinea) versicolor infection agent",65,8.24199,4433
55363,"Diospyros lotus","Plants","Land Plants","date-plum",36.5663,630.256,87
55513,"Pistacia vera","Plants","Land Plants","pistachio",36.0005,671.28,41299
55571,"Dioscorea alata","Plants","Land Plants","greater yam",36.4123,480.026,38603
55577,"Dioscorea cayenensis subsp. rotundata","Plants","Land Plants","eboe yam",36.3623,584.309,33298
56036,"Fraxinus pennsylvanica","Plants","Land Plants","green ash",36.0401,756.791,35470
56068,"Sula dactylatra","Animals","Birds","masked booby",41.3,1136.67,12967
56262,"Pandion haliaetus","Animals","Birds","osprey",41.1,1147.62,12604
56313,"Tyto alba","Animals","Birds","Schleiereule",42,1249.87,41980
57060,"Eleutherodactylus coqui","Animals","Amphibians","coqui",43.7743,2789.35,21221
57577,"Trifolium pratense","Plants","Land Plants","peavine clover",32.8,304.972,63838
59557,"Tuber aestivum","Fungi","Ascomycetes","red-grained black truffle",48.2,144.718,9297
59689,"Arabidopsis lyrata","Plants","Land Plants","lyrate rockcress",37,243.773,29824
59895,"Cynara cardunculus var. scolymus","Plants","Land Plants","artichoke",36.0439,724.962,34396
