Name,Gene Name
ENSG00000172410,insulin like 5(INSL5)
ENSG00000020129,neurochondrin(NCDN)
ENSG00000169242,ephrin A1(EFNA1)
ENSG00000169241,solute carrier family 50 member 1(SLC50A1)
ENSG00000241992,"RNA, 7SL, cytoplasmic 831, pseudogene(RN7SL831P)"
ENSG00000157211,CUB domain containing protein 2(CDCP2)
ENSG00000229871,ribosomal protein SA pseudogene 20(RPSAP20)
ENSG00000157216,single stranded DNA binding protein 3(SSBP3)
ENSG00000225036,cyclin dependent kinase 4 pseudogene 1(CDK4P1)
ENSG00000252656,RN7SK pseudogene 88(RN7SKP88)
ENSG00000200175,"RNA, U6 small nuclear 1309, pseudogene(RNU6-1309P)"
ENSG00000201028,"RNA, U6 small nuclear 151, pseudogene(RNU6-151P)"
ENSG00000228549,uncharacterized LOC112267871(LOC112267871)
ENSG00000162613,far upstream element binding protein 1(FUBP1)
ENSG00000162614,nexilin F-actin binding protein(NEXN)
ENSG00000092607,T-box transcription factor 15(TBX15)
ENSG00000236179,"PRAME family member 35, pseudogene(PRAMEF35P)"
ENSG00000162616,DnaJ heat shock protein family (Hsp40) member B4(DNAJB4)
ENSG00000274408,"RNA, 5S ribosomal pseudogene 536(RNA5SP536)"
ENSG00000162618,adhesion G protein-coupled receptor L4(ADGRL4)
ENSG00000277918,U1 spliceosomal RNA(LOC124904616)
ENSG00000261593,"cytochrome P450 family 4 subfamily A member 27, pseudogene(CYP4A27P)"
ENSG00000226374,long intergenic non-protein coding RNA 1345(LINC01345)
ENSG00000201491,"RNA, U4 small nuclear 75, pseudogene(RNU4-75P)"
ENSG00000271383,NBPF member 19(NBPF19)
ENSG00000206700,"RNA, U6 small nuclear 723, pseudogene(RNU6-723P)"
ENSG00000200169,"RNA, U5D small nuclear 1(RNU5D-1)"
ENSG00000000938,"FGR proto-oncogene, Src family tyrosine kinase(FGR)"
ENSG00000162623,tRNA-yW synthesizing protein 3 homolog(TYW3)
ENSG00000179051,regulator of chromosome condensation 2(RCC2)
ENSG00000162624,LIM homeobox 8(LHX8)
ENSG00000162620,leucine rich repeats and IQ motif containing 3(LRRIQ3)
ENSG00000162621,leucine rich repeat containing 53(LRRC53)
ENSG00000133226,serine and arginine repetitive matrix 1(SRRM1)
ENSG00000235251,ubiquitin like modifier activating enzyme 2 pseudogene(LOC100421465)
ENSG00000238765,"RNA, 5S ribosomal pseudogene 57(RNA5SP57)"
ENSG00000213068,ribosomal protein S17 pseudogene 6(RPS17P6)
ENSG00000237435,long intergenic non-protein coding RNA 2790(LINC02790)
ENSG00000233072,ribosomal protein S15a pseudogene 6(RPS15AP6)
ENSG00000162627,sorting nexin 7(SNX7)
ENSG00000250894,"PRAME family member 31, pseudogene(PRAMEF31P)"
ENSG00000227634,long intergenic non-protein coding RNA 1714(LINC01714)
ENSG00000143032,BarH like homeobox 2(BARHL2)
ENSG00000162636,EEIG family member 2(EEIG2)
ENSG00000143033,metal response element binding transcription factor 2(MTF2)
ENSG00000233079,long intergenic non-protein coding RNA 1755(LINC01755)
ENSG00000162631,netrin G1(NTNG1)
ENSG00000143036,solute carrier family 44 member 3(SLC44A3)
ENSG00000186603,4-hydroxyphenylpyruvate dioxygenase like(HPDL)
ENSG00000238761,small nucleolar RNA U13(LOC124904812)
ENSG00000213064,SFT2 domain containing 2(SFT2D2)
ENSG00000213057,chromosome 1 putative open reading frame 220(C1orf220)
ENSG00000069424,potassium voltage-gated channel subfamily A regulatory beta subunit 2(KCNAB2)
ENSG00000238778,"RNA, U7 small nuclear 80 pseudogene(RNU7-80P)"
ENSG00000162639,HEN methyltransferase 1(HENMT1)
ENSG00000228971,long intergenic non-protein coding RNA 2607(LINC02607)
ENSG00000230806,SRGAP2 antisense RNA 1(SRGAP2-AS1)
ENSG00000143028,synaptophysin like 2(SYPL2)
ENSG00000206767,"RNA, U6 small nuclear 949, pseudogene(RNU6-949P)"
ENSG00000078369,G protein subunit beta 1(GNB1)
ENSG00000162645,guanylate binding protein 2(GBP2)
ENSG00000070886,EPH receptor A8(EPHA8)
ENSG00000162641,AKNA domain containing 1(AKNAD1)
ENSG00000273544,"small nucleolar RNA, H/ACA box 44(SNORA44)"
ENSG00000162642,chromosome 1 open reading frame 52(C1orf52)
ENSG00000236111,ribosomal protein L6 pseudogene 1(RPL6P1)
ENSG00000162643,dynein axonemal intermediate chain 3(DNAI3)
ENSG00000239636,TFAP2E antisense RNA 1(TFAP2E-AS1)
ENSG00000196420,S100 calcium binding protein A5(S100A5)
ENSG00000271329,metaxin 3 pseudogene(LOC100130714)
ENSG00000024526,DEP domain containing 1(DEPDC1)
ENSG00000199934,small nucleolar RNA SNORD81(LOC124900422)
ENSG00000196427,NBPF member 4(NBPF4)
ENSG00000172456,FGGY carbohydrate kinase domain containing(FGGY)
ENSG00000009724,MBL associated serine protease 2(MASP2)
ENSG00000230817,long intergenic non-protein coding RNA 1362(LINC01362)
ENSG00000207606,microRNA 554(MIR554)
ENSG00000207607,microRNA 200a(MIR200A)
ENSG00000162650,ataxin 7 like 2(ATXN7L2)
ENSG00000228504,long intergenic non-protein coding RNA 1760(LINC01760)
ENSG00000251767,"RNA, U7 small nuclear 8 pseudogene(RNU7-8P)"
ENSG00000273516,U1 spliceosomal RNA(LOC124904640)
ENSG00000179085,"dolichyl-phosphate mannosyltransferase subunit 3, regulatory(DPM3)"
ENSG00000188800,transmembrane and coiled-coil domains 2(TMCO2)
ENSG00000120370,"golgin, RAB6 interacting(GORAB)"
ENSG00000183114,family with sequence similarity 43 member B(FAM43B)
ENSG00000183598,H3 clustered histone 13(H3C13)
ENSG00000143013,LIM domain only 4(LMO4)
ENSG00000162654,guanylate binding protein 4(GBP4)
ENSG00000133216,EPH receptor B2(EPHB2)
ENSG00000236137,CD101 antisense RNA 1(CD101-AS1)
ENSG00000238316,small nucleolar RNA U13(LOC124904813)
ENSG00000097096,synapse defective Rho GTPase homolog 2(SYDE2)
ENSG00000135870,ring finger and CCCH-type domains 1(RC3H1)
ENSG00000081985,interleukin 12 receptor subunit beta 2(IL12RB2)
ENSG00000199921,"RNA, U6 small nuclear 161, pseudogene(RNU6-161P)"
ENSG00000283324,cortexin domain containing 2(CTXND2)
ENSG00000197747,S100 calcium binding protein A10(S100A10)
ENSG00000169291,Src homology 2 domain containing E(SHE)
ENSG00000196407,thioesterase superfamily member 5(THEM5)
ENSG00000227667,"cytochrome c oxidase subunit 7B, mitochondrial-like(LOC107985222)"
ENSG00000143006,DMRT like family B with proline rich C-terminal 1(DMRTB1)
ENSG00000229842,MT-ATP6 pseudogene 13(MTATP6P13)
ENSG00000187942,low density lipoprotein receptor class A domain containing 2(LDLRAD2)
ENSG00000162669,helicase for meiosis 1(HFM1)
ENSG00000239640,"RNA, 7SL, cytoplasmic 62, pseudogene(RN7SL62P)"
ENSG00000143001,transmembrane protein 61(TMEM61)
ENSG00000162664,zinc finger protein 326(ZNF326)
ENSG00000237463,LRRC52 antisense RNA 1(LRRC52-AS1)
ENSG00000237872,POU class 5 homeobox 1 pseudogene 4(POU5F1P4)
ENSG00000074800,enolase 1(ENO1)
ENSG00000213421,ribosomal protein L7a pseudogene 17(RPL7AP17)
ENSG00000158966,cache domain containing 1(CACHD1)
ENSG00000233030,uncharacterized LOC124904411(LOC124904411)
ENSG00000135845,phosphatidylinositol glycan anchor biosynthesis class C(PIGC)
ENSG00000236546,MYCL antisense RNA 1(MYCL-AS1)
ENSG00000163518,Fc receptor like 4(FCRL4)
ENSG00000180098,tRNA selenocysteine 1 associated protein 1(TRNAU1AP)
ENSG00000009709,paired box 7(PAX7)
ENSG00000280267,PRAME family member 26(PRAMEF26)
ENSG00000248527,MT-ATP6 pseudogene 1(MTATP6P1)
ENSG00000175984,DENN domain containing 2C(DENND2C)
ENSG00000196449,yrdC N6-threonylcarbamoyltransferase domain containing(YRDC)
ENSG00000199959,small nucleolar RNA SNORA2/SNORA34 family(LOC124904808)
ENSG00000060642,phosphatidylinositol glycan anchor biosynthesis class V(PIGV)
ENSG00000117174,zinc finger HIT-type containing 6(ZNHIT6)
ENSG00000228929,ribosomal protein S13 pseudogene 2(RPS13P2)
ENSG00000188822,cannabinoid receptor 2(CNR2)
ENSG00000201448,"small nucleolar RNA, H/ACA box 63C(SNORA63C)"
ENSG00000162676,growth factor independent 1 transcriptional repressor(GFI1)
ENSG00000188807,transmembrane protein 201(TMEM201)
ENSG00000004487,lysine demethylase 1A(KDM1A)
ENSG00000237409,ribosomal protein L27a pseudogene 2(RPL27AP2)
ENSG00000283789,microRNA 7846(MIR7846)
ENSG00000226754,MAGOH divergent transcript(MAGOH-DT)
ENSG00000187961,kelch like family member 17(KLHL17)
ENSG00000267272,long intergenic non-protein coding RNA 1140(LINC01140)
ENSG00000184454,non-compact myelin associated protein(NCMAP)
ENSG00000162688,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)"
ENSG00000226759,DAB1 antisense RNA 1(DAB1-AS1)
ENSG00000235226,ribosomal protein L27 pseudogene 2(RPL27P2)
ENSG00000232198,MT-CO2 pseudogene 34(MTCO2P34)
ENSG00000163534,Fc receptor like 1(FCRL1)
ENSG00000135823,syntaxin 6(STX6)
ENSG00000237413,uncharacterized MGC27382(MGC27382)
ENSG00000197312,DNA damage inducible 1 homolog 2(DDI2)
ENSG00000251720,"RNA, U7 small nuclear 123 pseudogene(RNU7-123P)"
ENSG00000162692,vascular cell adhesion molecule 1(VCAM1)
ENSG00000143457,golgi phosphoprotein 3 like(GOLPH3L)
ENSG00000120337,TNF superfamily member 18(TNFSF18)
ENSG00000203601,long intergenic non-protein coding RNA 970(LINC00970)
ENSG00000143458,GA binding protein transcription factor subunit beta 2(GABPB2)
ENSG00000120334,centromere protein L(CENPL)
ENSG00000162694,exostosin like glycosyltransferase 2(EXTL2)
ENSG00000228940,protein phosphatase 2 catalytic subunit alpha pseudogene(LOC100128362)
ENSG00000283749,microRNA 4781(MIR4781)
ENSG00000200575,"RNA, U6 small nuclear 414, pseudogene(RNU6-414P)"
ENSG00000187513,gap junction protein alpha 4(GJA4)
ENSG00000143450,ornithine decarboxylase antizyme 3(OAZ3)
ENSG00000184005,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3(ST6GALNAC3)"
ENSG00000162695,solute carrier family 30 member 7(SLC30A7)
ENSG00000143452,HORMA domain containing 1(HORMAD1)
ENSG00000120332,tenascin N(TNN)
ENSG00000184007,protein tyrosine phosphatase 4A2(PTP4A2)
ENSG00000120333,mitochondrial ribosomal protein S14(MRPS14)
ENSG00000207194,"RNA, U6 small nuclear 1026, pseudogene(RNU6-1026P)"
ENSG00000135835,KIAA1614(KIAA1614)
ENSG00000235241,uncharacterized LOC107985101(LOC107985101)
ENSG00000090020,solute carrier family 9 member A1(SLC9A1)
ENSG00000197780,TATA-box binding protein associated factor 13(TAF13)
ENSG00000237424,FOXD2 adjacent opposite strand RNA 1(FOXD2-AS1)
ENSG00000233061,TTLL7 intronic transcript 1(TTLL7-IT1)
ENSG00000207190,"RNA, U6 small nuclear 809, pseudogene(RNU6-809P)"
ENSG00000135837,centrosomal protein 350(CEP350)
ENSG00000197785,ATPase family AAA domain containing 3A(ATAD3A)
ENSG00000199963,"RNA, U6 small nuclear 605, pseudogene(RNU6-605P)"
ENSG00000026751,SLAM family member 7(SLAMF7)
ENSG00000221083,small nucleolar RNA SNORA77(LOC124900452)
ENSG00000223263,"RNA, U6 small nuclear 387, pseudogene(RNU6-387P)"
ENSG00000057468,mutS homolog 4(MSH4)
ENSG00000058799,Yip1 domain family member 1(YIPF1)
ENSG00000187980,phospholipase A2 group IIC(PLA2G2C)
ENSG00000036549,zinc finger ZZ-type containing 3(ZZZ3)
ENSG00000143442,pogo transposable element derived with ZNF domain(POGZ)
ENSG00000163554,"spectrin alpha, erythrocytic 1(SPTA1)"
ENSG00000142599,arginine-glutamic acid dipeptide repeats(RERE)
ENSG00000143443,chromosome 1 open reading frame 56(C1orf56)
ENSG00000120341,"SEC16 homolog B, endoplasmic reticulum export factor(SEC16B)"
ENSG00000160049,DNA fragmentation factor subunit alpha(DFFA)
ENSG00000172031,epoxide hydrolase 4(EPHX4)
ENSG00000152382,transcriptional adaptor 1(TADA1)
ENSG00000004455,adenylate kinase 2(AK2)
ENSG00000126091,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3(ST3GAL3)"
ENSG00000118473,SH3GL interacting endocytic adaptor 1(SGIP1)
ENSG00000007968,E2F transcription factor 2(E2F2)
ENSG00000282881,transmembrane protein 275(TMEM275)
ENSG00000179902,cilia and flagella associated protein 276(CFAP276)
ENSG00000173369,complement C1q B chain(C1QB)
ENSG00000132773,"target of EGR1, exonuclease(TOE1)"
ENSG00000116288,Parkinsonism associated deglycase(PARK7)
ENSG00000143434,semaphorin 6C(SEMA6C)
ENSG00000201003,small nucleolar RNA SNORA58(LOC124900439)
ENSG00000160050,coiled-coil domain containing 28B(CCDC28B)
ENSG00000060688,small nuclear ribonucleoprotein U5 subunit 40(SNRNP40)
ENSG00000143436,mitochondrial ribosomal protein L9(MRPL9)
ENSG00000117133,ribosome production factor 1 homolog(RPF1)
ENSG00000142583,solute carrier family 2 member 5(SLC2A5)
ENSG00000116285,ERBB receptor feedback inhibitor 1(ERRFI1)
ENSG00000143437,aryl hydrocarbon receptor nuclear translocator(ARNT)
ENSG00000163563,myeloid cell nuclear differentiation antigen(MNDA)
ENSG00000224520,keratin 8 pseudogene 45(KRT8P45)
ENSG00000225854,ribosomal protein L34 pseudogene 4(RPL34P4)
ENSG00000204510,PRAME family member 7(PRAMEF7)
ENSG00000234329,ribosomal protein L7a pseudogene 16(RPL7AP16)
ENSG00000084652,taxilin alpha(TXLNA)
ENSG00000225855,RUSC1 antisense RNA 1(RUSC1-AS1)
ENSG00000160051,IQ motif containing C(IQCC)
ENSG00000163568,absent in melanoma 2(AIM2)
ENSG00000160058,BSD domain containing 1(BSDC1)
ENSG00000232148,"flavin containing dimethylaniline monoxygenase 11, pseudogene(FMO11P)"
ENSG00000253085,small Cajal body-specific RNA 11(LOC124900446)
ENSG00000160055,transmembrane protein 234(TMEM234)
ENSG00000204518,arylacetamide deacetylase like 4(AADACL4)
ENSG00000163564,pyrin and HIN domain family member 1(PYHIN1)
ENSG00000277058,heterogeneous nuclear ribonucleoprotein C like 3(HNRNPCL3)
ENSG00000163565,interferon gamma inducible protein 16(IFI16)
ENSG00000186207,late cornified envelope 5A(LCE5A)
ENSG00000173372,complement C1q A chain(C1QA)
ENSG00000197323,tripartite motif containing 33(TRIM33)
ENSG00000179914,intelectin 1(ITLN1)
ENSG00000132781,mutY DNA glycosylase(MUTYH)
ENSG00000132780,nuclear autoantigenic sperm protein(NASP)
ENSG00000084636,collagen type XVI alpha 1 chain(COL16A1)
ENSG00000243284,V-set and immunoglobulin domain containing 8(VSIG8)
ENSG00000269896,small nuclear ribonucleoprotein polypeptide N pseudogene(LOC100129534)
ENSG00000223683,ribosomal protein SA pseudogene 65(RPSAP65)
ENSG00000204505,PRAME family member 9(PRAMEF9)
ENSG00000117122,microfibril associated protein 2(MFAP2)
ENSG00000116273,PHD finger protein 13(PHF13)
ENSG00000204501,PRAME family member 15(PRAMEF15)
ENSG00000233008,long intergenic non-protein coding RNA 1725(LINC01725)
ENSG00000233008,uncharacterized LOC101927560(LOC101927560)
ENSG00000160062,zinc finger and BTB domain containing 8A(ZBTB8A)
ENSG00000194297,"RNA, U1 small nuclear 75, pseudogene(RNU1-75P)"
ENSG00000226715,long intergenic non-protein coding RNA 1709(LINC01709)
ENSG00000253074,"RNA, U6 small nuclear 586, pseudogene(RNU6-586P)"
ENSG00000234333,CYCS pseudogene 53(CYCSP53)
ENSG00000188859,family with sequence similarity 78 member B(FAM78B)
ENSG00000233485,FHAD1 antisense RNA 1(FHAD1-AS1)
ENSG00000143420,endosulfine alpha(ENSA)
ENSG00000235673,ribosomal protein S2 pseudogene 13(RPS2P13)
ENSG00000237853,NFIA antisense RNA 1(NFIA-AS1)
ENSG00000143409,MINDY lysine 48 deubiquitinase 1(MINDY1)
ENSG00000238705,microRNA 1976(MIR1976)
ENSG00000126070,argonaute RISC catalytic component 3(AGO3)
ENSG00000283712,microRNA 6727(MIR6727)
ENSG00000118454,ankyrin repeat domain 13C(ANKRD13C)
ENSG00000060656,protein tyrosine phosphatase receptor type U(PTPRU)
ENSG00000084628,sodium/potassium transporting ATPase interacting 1(NKAIN1)
ENSG00000143412,annexin A9(ANXA9)
ENSG00000160072,ATPase family AAA domain containing 3B(ATAD3B)
ENSG00000117155,SSX family member 2 interacting protein(SSX2IP)
ENSG00000117154,immunoglobin superfamily member 21(IGSF21)
ENSG00000143416,selenium binding protein 1(SELENBP1)
ENSG00000117152,regulator of G protein signaling 4(RGS4)
ENSG00000160075,"SSU72 homolog, RNA polymerase II CTD phosphatase(SSU72)"
ENSG00000143418,ceramide synthase 2(CERS2)
ENSG00000117151,chitobiase(CTBS)
ENSG00000188404,selectin L(SELL)
ENSG00000186226,late cornified envelope 1E(LCE1E)
ENSG00000270882,H4 clustered histone 14(H4C14)
ENSG00000238711,RNY4 pseudogene 25(RNY4P25)
ENSG00000126088,uroporphyrinogen decarboxylase(UROD)
ENSG00000132768,diphthamide biosynthesis 2(DPH2)
ENSG00000007933,flavin containing dimethylaniline monoxygenase 3(FMO3)
ENSG00000283724,microRNA 6732(MIR6732)
ENSG00000027644,insulin receptor related receptor(INSRR)
ENSG00000132763,metabolism of cobalamin associated C(MMACHC)
ENSG00000117148,actin like 8(ACTL8)
ENSG00000221040,small nucleolar RNA U3(LOC124904669)
ENSG00000177757,family with sequence similarity 87 member B(FAM87B)
ENSG00000282872,chromosome 1 open reading frame 230(C1orf232)
ENSG00000116299,endosome-lysosome associated apoptosis and autophagy regulator 1(ELAPOR1)
ENSG00000143401,acidic nuclear phosphoprotein 32 family member E(ANP32E)
ENSG00000121634,gap junction protein alpha 8(GJA8)
ENSG00000084623,eukaryotic translation initiation factor 3 subunit I(EIF3I)
ENSG00000117143,UDP-N-acetylglucosamine pyrophosphorylase 1(UAP1)
ENSG00000079277,MAPK interacting serine/threonine kinase 1(MKNK1)
ENSG00000160087,ubiquitin conjugating enzyme E2 J2(UBE2J2)
ENSG00000222378,"RNA, 5S ribosomal pseudogene 44(RNA5SP44)"
ENSG00000201457,"small nucleolar RNA, H/ACA box 55(SNORA55)"
ENSG00000233029,uncharacterized LOC100996318(LOC100996318)
ENSG00000223229,RN7SK pseudogene 270(RN7SKP270)
ENSG00000187545,PRAME family member 10(PRAMEF10)
ENSG00000235202,long intergenic non-protein coding RNA 1525(LINC01525)
ENSG00000235200,long intergenic non-protein coding RNA 1702(LINC01702)
ENSG00000132855,angiopoietin like 3(ANGPTL3)
ENSG00000132854,KN motif and ankyrin repeat domains 4(KANK4)
ENSG00000235613,nuclear speckle splicing regulatory protein 1 pseudogene 1(NSRP1P1)
ENSG00000173285,olfactory receptor family 10 subfamily K member 1(OR10K1)
ENSG00000007923,DnaJ heat shock protein family (Hsp40) member C11(DNAJC11)
ENSG00000117215,phospholipase A2 group IID(PLA2G2D)
ENSG00000207144,"RNA, U6 small nuclear 1297, pseudogene(RNU6-1297P)"
ENSG00000188782,cation channel sperm associated 4(CATSPER4)
ENSG00000142661,myomesin 3(MYOM3)
ENSG00000143515,ATPase phospholipid transporting 8B2(ATP8B2)
ENSG00000188786,metal regulatory transcription factor 1(MTF1)
ENSG00000222784,RN7SK pseudogene 91(RN7SKP91)
ENSG00000188784,phospholipase A2 group IIE(PLA2G2E)
ENSG00000207149,"RNA, U6 small nuclear 465, pseudogene(RNU6-465P)"
ENSG00000185278,zinc finger and BTB domain containing 37(ZBTB37)
ENSG00000132849,PATJ crumbs cell polarity complex component(PATJ)
ENSG00000142669,SH3 domain binding glutamate rich protein like 3(SH3BGRL3)
ENSG00000233432,mitochondrial translational initiation factor 2 pseudogene 1(MTIF2P1)
ENSG00000232586,KIAA1614 antisense RNA 1(KIAA1614-AS1)
ENSG00000224968,long intergenic non-protein coding RNA 1645(LINC01645)
ENSG00000233431,long intergenic non-protein coding RNA 2596(LINC02596)
ENSG00000231252,uncharacterized LOC101926964(LOC101926964)
ENSG00000107404,dishevelled segment polarity protein 1(DVL1)
ENSG00000197241,solute carrier family 2 member 7(SLC2A7)
ENSG00000198574,SH2 domain containing 1B(SH2D1B)
ENSG00000197245,family with sequence similarity 110 member D(FAM110D)
ENSG00000207134,"RNA, U6 small nuclear 106, pseudogene(RNU6-106P)"
ENSG00000283701,microRNA 555(MIR555)
ENSG00000280670,CCDC163 homolog(CCDC163)
ENSG00000116353,mitochondrial trans-2-enoyl-CoA reductase(MECR)
ENSG00000253039,"RNA, 5S ribosomal pseudogene 47(RNA5SP47)"
ENSG00000117682,dehydrodolichyl diphosphate synthase subunit(DHDDS)
ENSG00000265491,ring finger protein 115(RNF115)
ENSG00000116350,serine and arginine rich splicing factor 4(SRSF4)
ENSG00000233449,MT-ATP6 pseudogene 14(MTATP6P14)
ENSG00000232596,long intergenic non-protein coding RNA 1646(LINC01646)
ENSG00000225826,long intergenic non-protein coding RNA 626(LINC00626)
ENSG00000232113,testis expressed 50(TEX50)
ENSG00000142657,phosphogluconate dehydrogenase(PGD)
ENSG00000225828,family with sequence similarity 229 member A(FAM229A)
ENSG00000142655,peroxisomal biogenesis factor 14(PEX14)
ENSG00000186118,testis expressed 38(TEX38)
ENSG00000127483,heterochromatin protein 1 binding protein 3(HP1BP3)
ENSG00000179840,PIK3CD antisense RNA 1(PIK3CD-AS1)
ENSG00000174151,cytochrome b561 family member D1(CYB561D1)
ENSG00000007908,selectin E(SELE)
ENSG00000197273,guanylate cyclase activator 2A(GUCA2A)
ENSG00000275291,U1 spliceosomal RNA(LOC124904624)
ENSG00000253060,small Cajal body-specific RNA 20(LOC124900454)
ENSG00000127481,ubiquitin protein ligase E3 component n-recognin 4(UBR4)
ENSG00000041988,THAP domain containing 3(THAP3)
ENSG00000186141,RNA polymerase III subunit C(POLR3C)
ENSG00000168710,adenosylhomocysteinase like 1(AHCYL1)
ENSG00000224980,ribosomal protein L23a pseudogene 85(RPL23AP85)
ENSG00000223656,high mobility group box 3 pseudogene 10(HMGB3P10)
ENSG00000224986,protein phosphatase 1 regulatory subunit 8 pseudogene 1(PPP1R8P1)
ENSG00000219102,heterogeneous nuclear ribonucleoprotein A3 pseudogene 12(HNRNPA3P12)
ENSG00000200975,"RNA, U1 small nuclear 7, pseudogene(RNU1-7P)"
ENSG00000177674,angiotensin II receptor associated protein(AGTRAP)
ENSG00000234790,nuclear transport factor 2 pseudogene 4(NUTF2P4)
ENSG00000236973,glyceraldehyde 3 phosphate dehydrogenase pseudogene 51(GAPDHP51)
ENSG00000235643,long intergenic non-protein coding RNA 1647(LINC01647)
ENSG00000072694,Fc gamma receptor IIb(FCGR2B)
ENSG00000243267,"RNA, 7SL, cytoplasmic 614, pseudogene(RN7SL614P)"
ENSG00000117228,guanylate binding protein 1(GBP1)
ENSG00000204084,inositol polyphosphate-5-phosphatase B(INPP5B)
ENSG00000117226,guanylate binding protein 3(GBP3)
ENSG00000223663,NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8(NDUFB4P8)
ENSG00000085998,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)(POMGNT1)"
ENSG00000085999,RAD54 like(RAD54L)
ENSG00000142634,EF-hand domain family member D2(EFHD2)
ENSG00000142632,Rho guanine nucleotide exchange factor 19(ARHGEF19)
ENSG00000179862,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4(CITED4)
ENSG00000078808,stromal cell derived factor 4(SDF4)
ENSG00000127463,ER membrane protein complex subunit 1(EMC1)
ENSG00000142619,peptidyl arginine deiminase 3(PADI3)
ENSG00000174175,selectin P(SELP)
ENSG00000212538,small nucleolar RNA U3(LOC124904671)
ENSG00000116329,opioid receptor delta 1(OPRD1)
ENSG00000241014,"G protein-coupled receptor 199, pseudogene(GPR199P)"
ENSG00000229372,SZT2 antisense RNA 1(SZT2-AS1)
ENSG00000186160,cytochrome P450 family 4 subfamily Z member 1(CYP4Z1)
ENSG00000065978,Y-box binding protein 1(YBX1)
ENSG00000187010,Rh blood group D antigen(RHD)
ENSG00000253005,"RNA, U6 small nuclear 176, pseudogene(RNU6-176P)"
ENSG00000188340,olfactory receptor family 6 subfamily N member 2(OR6N2)
ENSG00000230368,family with sequence similarity 41 member C(FAM41C)
ENSG00000142627,EPH receptor A2(EPHA2)
ENSG00000230364,ribosomal protein L4 pseudogene 3(RPL4P3)
ENSG00000187017,espin(ESPN)
ENSG00000277452,"RNA, 7SL, cytoplasmic 473, pseudogene(RN7SL473P)"
ENSG00000252151,"RNA, U6 small nuclear 1265, pseudogene(RNU6-1265P)"
ENSG00000142623,peptidyl arginine deiminase 1(PADI1)
ENSG00000142621,forkhead associated phosphopeptide binding domain 1(FHAD1)
ENSG00000127472,phospholipase A2 group V(PLA2G5)
ENSG00000264128,"RNA, 7SL, cytoplasmic 713, pseudogene(RN7SL713P)"
ENSG00000142609,cilia and flagella associated protein 74(CFAP74)
ENSG00000142606,membrane metalloendopeptidase like 1(MMEL1)
ENSG00000212527,"RNA, 5S ribosomal pseudogene 63(RNA5SP63)"
ENSG00000236915,CLCA4 antisense RNA 1(CLCA4-AS1)
ENSG00000208024,microRNA 199a-2(MIR199A2)
ENSG00000229388,TAF12 divergent transcript(TAF12-DT)
